Index,Sample Index,Original Filename,Sample Name,Sample ID,Sample Comment,Sample Type,Acquisition Date & Time,Rack Number,Plate Number,Vial Number,Dilution Factor,Injection Volume,Operator Name,Acq. Method Name,IS,Component Name,Component Index,Component Comment,IS Comment,Mass Info,IS Mass Info,IS Name,Component Group Name,Conc. Units,Failed Query,IS Failed Query,Outlier Reasons,Peak Comment,IS Peak Comment,Actual Concentration,IS Actual Concentration,Concentration Ratio,Expected RT,IS Expected RT,Integration Type,IS Integration Type,Area,IS Area,Corrected Area,IS Corrected Area,Area Ratio,Height,IS Height,Corrected Height,IS Corrected Height,Height Ratio,Area / Height,IS Area / Height,Corrected Area/Height,IS Corrected Area/Height,Region Height,IS Region Height,Quality,IS Quality,Retention Time,IS Retention Time,Start Time,IS Start Time,End Time,IS End Time,Total Width,IS Total Width,Width at 50%,IS Width at 50%,Signal / Noise,IS Signal / Noise,Baseline Delta / Height,IS Baseline Delta / Height,Modified,Relative RT,Used,Calculated Concentration,Accuracy,Start Time at 5%,End Time at 5%,Width at 5%,Start Time at 10%,End Time at 10%,Width at 10%,Slope of Baseline,Tailing Factor,Asymmetry Factor,Ion Ratio,Expected Ion Ratio,Points Across Baseline,Points Across Half Height
1,1,D:\User Data\Linda\LINDA_BenNRAex_011120\StandardCurves\NADmetC_0_1.wiff (sample 1),NADmetC_0_1,,,Standard,11/04/2020 12:14,1,1,5,1,5,6500PLUS\User,NADmetabolites_6500_RT.dam,FALSE,NMN_0_0,1,,N/A,335.2 / 123.1,N/A,(No IS),,,FALSE,FALSE,Accuracy,,N/A,0,N/A,N/A,12.3,N/A,Baseline,N/A,12644.112,N/A,12644.112,N/A,N/A,1099.292361,N/A,1099.292361,N/A,N/A,11.50204663,N/A,11.50204663,N/A,1031,N/A,1,N/A,12.40577501,N/A,12.24833333,N/A,12.78026667,N/A,0.531933333,N/A,0.154445706,N/A,16.79904207,N/A,0.019103198,N/A,FALSE,N/A,TRUE,degenerate,N/A,12.25417959,12.7626853,0.508505711,12.26092013,12.74861334,0.487693205,-39.47863141,1.421436054,1.833286345,N/A,N/A,13,5
2,1,D:\User Data\Linda\LINDA_BenNRAex_011120\StandardCurves\NADmetC_0_1.wiff (sample 1),NADmetC_0_1,,,Standard,11/04/2020 12:14,1,1,5,1,5,6500PLUS\User,NADmetabolites_6500_RT.dam,FALSE,NR_0_0,2,,N/A,255.0 / 123.0,N/A,(No IS),,,FALSE,FALSE,Accuracy,,N/A,0,N/A,N/A,2.5,N/A,Baseline,N/A,1382.5105,N/A,1382.5105,N/A,N/A,200.8012795,N/A,200.8012795,N/A,N/A,6.88496858,N/A,6.88496858,N/A,425,N/A,0.323320794,N/A,2.149450986,N/A,2.053583333,N/A,2.220316667,N/A,0.166733333,N/A,0.123104761,N/A,2.050537965,N/A,0.159361534,N/A,FALSE,N/A,TRUE,degenerate,N/A,2.06045033,2.220316667,0.159866337,2.06280833,2.219025445,0.156217115,191.9232307,0.85796191,0.72029487,N/A,N/A,6,6
3,1,D:\User Data\Linda\LINDA_BenNRAex_011120\StandardCurves\NADmetC_0_1.wiff (sample 1),NADmetC_0_1,,,Standard,11/04/2020 12:14,1,1,5,1,5,6500PLUS\User,NADmetabolites_6500_RT.dam,FALSE,NaR_0_0,3,,N/A,256.0 / 124.0,N/A,(No IS),,,FALSE,FALSE,,,N/A,100,N/A,N/A,7.6,N/A,Baseline,N/A,336137.085,N/A,336137.085,N/A,N/A,9452.763132,N/A,9452.763132,N/A,N/A,35.55966444,N/A,35.55966444,N/A,10370,N/A,0,N/A,7.875903548,N/A,7.3237,N/A,8.593466667,N/A,1.269766667,N/A,0.589819988,N/A,205.1952396,N/A,0.201422587,N/A,FALSE,N/A,TRUE,105.77478,105.77478,7.442378907,8.593466667,1.151087759,7.460884101,8.593466667,1.132582565,1499.488095,1.167381859,1.386816898,N/A,N/A,48,26
4,1,D:\User Data\Linda\LINDA_BenNRAex_011120\StandardCurves\NADmetC_0_1.wiff (sample 1),NADmetC_0_1,,,Standard,11/04/2020 12:14,1,1,5,1,5,6500PLUS\User,NADmetabolites_6500_RT.dam,FALSE,NaMN_0_0,4,,N/A,336.1 / 123.8,N/A,(No IS),,,FALSE,FALSE,Accuracy,,N/A,0,N/A,N/A,12.3,N/A,Baseline,N/A,200050.6185,N/A,200050.6185,N/A,N/A,11508.30076,N/A,11508.30076,N/A,N/A,17.3831587,N/A,17.3831587,N/A,11251,N/A,1,N/A,12.12176947,N/A,11.86476667,N/A,13.1807,N/A,1.315933333,N/A,0.194567678,N/A,75.15046992,N/A,0.012599601,N/A,FALSE,N/A,TRUE,degenerate,N/A,11.93232097,13.05968954,1.127368575,11.95910849,12.7154184,0.756309909,110.1879528,2.560699424,2.911782413,N/A,N/A,34,6
5,1,D:\User Data\Linda\LINDA_BenNRAex_011120\StandardCurves\NADmetC_0_1.wiff (sample 1),NADmetC_0_1,,,Standard,11/04/2020 12:14,1,1,5,1,5,6500PLUS\User,NADmetabolites_6500_RT.dam,FALSE,NR_B,5,,N/A,255.0 / 78.0,N/A,(No IS),,,FALSE,FALSE,Accuracy,,N/A,0,N/A,N/A,2.5,N/A,Baseline,N/A,850.2755,N/A,850.2755,N/A,N/A,146.2852553,N/A,146.2852553,N/A,N/A,5.812448414,N/A,5.812448414,N/A,174,N/A,0.230304417,N/A,2.103666417,N/A,1.9869,N/A,2.220316667,N/A,0.233416667,N/A,0.160659204,N/A,5.569619563,N/A,0.102539384,N/A,FALSE,N/A,TRUE,degenerate,N/A,1.993213588,2.214850599,0.221637012,2.008459254,2.212633048,0.204173794,-64.2627633,1.835662954,3.524719324,N/A,N/A,8,7
6,1,D:\User Data\Linda\LINDA_BenNRAex_011120\StandardCurves\NADmetC_0_1.wiff (sample 1),NADmetC_0_1,,,Standard,11/04/2020 12:14,1,1,5,1,5,6500PLUS\User,NADmetabolites_6500_RT.dam,FALSE,NR_C,6,,N/A,255.0 / 238.2,N/A,(No IS),,,FALSE,FALSE,Accuracy,,N/A,0,N/A,N/A,2.5,N/A,Baseline,N/A,2570.149,N/A,2570.149,N/A,N/A,472.2527263,N/A,472.2527263,N/A,N/A,5.442316914,N/A,5.442316914,N/A,645,N/A,0.335401238,N/A,2.589321918,N/A,2.4871,N/A,2.679666667,N/A,0.192566667,N/A,0.165689018,N/A,2.776422984,N/A,0.23292613,N/A,FALSE,N/A,TRUE,degenerate,N/A,2.4871,2.677633145,0.190533145,2.4871,2.676381401,0.189281401,-571.2307426,1.428284446,1.837802108,N/A,N/A,7,7
7,1,D:\User Data\Linda\LINDA_BenNRAex_011120\StandardCurves\NADmetC_0_1.wiff (sample 1),NADmetC_0_1,,,Standard,11/04/2020 12:14,1,1,5,1,5,6500PLUS\User,NADmetabolites_6500_RT.dam,FALSE,NaR_B,7,,N/A,256.0 / 238.2,N/A,(No IS),,,FALSE,FALSE,Accuracy,,N/A,0,N/A,N/A,7.6,N/A,Baseline,N/A,6060.708,N/A,6060.708,N/A,N/A,821.0783743,N/A,821.0783743,N/A,N/A,7.381400108,N/A,7.381400108,N/A,784,N/A,0.814244443,N/A,7.762924072,N/A,7.67325,N/A,7.91355,N/A,0.2403,N/A,0.170377903,N/A,3.895626566,N/A,0.345886591,N/A,FALSE,N/A,TRUE,degenerate,N/A,7.680788848,7.91355,0.232761152,7.682368123,7.91355,0.231181877,1181.856013,0.942013524,0.895473932,N/A,N/A,12,10
8,1,D:\User Data\Linda\LINDA_BenNRAex_011120\StandardCurves\NADmetC_0_1.wiff (sample 1),NADmetC_0_1,,,Standard,11/04/2020 12:14,1,1,5,1,5,6500PLUS\User,NADmetabolites_6500_RT.dam,FALSE,NaAD_B,8,,N/A,665.0 / 136.0,N/A,(No IS),,,FALSE,FALSE,Accuracy,,N/A,0,N/A,N/A,11.2,N/A,Manual,N/A,39139.02206,N/A,39139.02206,N/A,N/A,1325.189225,N/A,1325.189225,N/A,N/A,29.53466669,N/A,29.53466669,N/A,1251,N/A,0.802691855,N/A,11.18568425,N/A,10.78790125,N/A,11.53598548,N/A,0.748084229,N/A,0.589777735,N/A,24.83121901,N/A,0.0468984,N/A,TRUE,N/A,TRUE,degenerate,N/A,10.81479889,11.57708333,0.762284442,10.87379862,11.57708333,0.703284711,-83.07788253,1.776877625,3.522691188,N/A,N/A,21,16
9,1,D:\User Data\Linda\LINDA_BenNRAex_011120\StandardCurves\NADmetC_0_1.wiff (sample 1),NADmetC_0_1,,,Standard,11/04/2020 12:14,1,1,5,1,5,6500PLUS\User,NADmetabolites_6500_RT.dam,FALSE,NaAD_0_0,9,,N/A,665.0 / 428.1,N/A,(No IS),,,FALSE,FALSE,Accuracy,,N/A,0,N/A,N/A,11.3,N/A,Baseline,N/A,41924.2355,N/A,41924.2355,N/A,N/A,1132.077646,N/A,1132.077646,N/A,N/A,37.03300357,N/A,37.03300357,N/A,1052,N/A,1,N/A,11.36687715,N/A,10.74608333,N/A,12.29628333,N/A,1.5502,N/A,0.920225018,N/A,25.03022815,N/A,0.040633255,N/A,FALSE,N/A,TRUE,degenerate,N/A,10.76582999,12.28441374,1.518583749,10.83046693,12.25458785,1.424120915,29.6735905,1.987484243,3.486837147,N/A,N/A,37,22
10,1,D:\User Data\Linda\LINDA_BenNRAex_011120\StandardCurves\NADmetC_0_1.wiff (sample 1),NADmetC_0_1,,,Standard,11/04/2020 12:14,1,1,5,1,5,6500PLUS\User,NADmetabolites_6500_RT.dam,FALSE,NAM_0_0,10,,N/A,122.8 / 79.8,N/A,(No IS),,,FALSE,FALSE,Accuracy,,N/A,0,N/A,N/A,1.66,N/A,Baseline,N/A,3846244.933,N/A,3846244.933,N/A,N/A,190300.4174,N/A,190300.4174,N/A,N/A,20.21143718,N/A,20.21143718,N/A,191021,N/A,0.985284546,N/A,1.680515849,N/A,1.43375,N/A,2.65385,N/A,1.2201,N/A,0.331854548,N/A,335.7106034,N/A,0.017551196,N/A,FALSE,N/A,TRUE,degenerate,N/A,1.489807709,2.107617627,0.617809918,1.494223907,2.036477863,0.542253956,2737.480534,1.568504952,1.816521897,N/A,N/A,38,12
